247; 8.33910009004883; -1; -1; 350; 227; 249; 198; 907; 362; 582; 196; 944; 139; -1; -1
252; 8.507227107993364; -1; -1; 342; 238; 244; 201; 902; 388; 572; 213; 960; 158; -1; -1
257; 8.675354125937897; -1; -1; 334; 246; 241; 206; 912; 431; 556; 237; 988; 187; 672; 32
262; 8.843481143882428; -1; -1; 324; 256; 232; 224; 926; 475; 537; 261; 1017; 220; 662; 126
267; 9.011608161826961; 243; 0; 315; 265; 228; 227; 940; 514; 518; 285; 1043; 247; 652; 223
272; 9.179735179771495; 204; 32; 307; 273; 220; 241; 936; 547; 505; 307; 1059; 266; 652; 295
278; 9.381487601304935; 190; 51; 300; 281; 212; 246; 940; 580; 489; 326; 1078; 283; 657; 378
283; 9.549614619249468; 174; 68; 292; 289; 211; 254; 940; 598; 483; 340; 1081; 297; 662; 439
288; 9.717741637194; 150; 96; 288; 294; 208; 259; 940; 620; 473; 355; 1094; 309; 672; 486
292; 9.852243251549627; 150; 105; 286; 296; 203; 265; 950; 631; 467; 362; 1107; 319; 676; 529
298; 10.053995673083065; 140; 92; 284; 294; 200; 270; 969; 641; 454; 367; 1136; 331; 657; 572
302; 10.188497287438691; 142; 86; 286; 292; 204; 264; 988; 634; 448; 362; 1152; 328; 628; 604
307; 10.356624305383225; 156; 97; 289; 294; 206; 262; 974; 627; 460; 355; 1116; 321; 590; 594
312; 10.524751323327758; 164; 161; 283; 313; 204; 265; 916; 649; 483; 374; 1049; 321; 628; 558
317; 10.69287834127229; 174; 196; 276; 331; 185; 289; 825; 678; 512; 398; 972; 312; 748; 554
322; 10.861005359216824; 193; 241; 268; 345; 180; 296; 720; 692; 550; 412; 899; 292; 907; 529
326; 10.99550697357245; 193; 241; 260; 360; 164; 308; 638; 692; 576; 422; 848; 276; 988; 500
331; 11.163633991516983; 206; 304; 249; 377; 148; 321; 537; 696; 614; 436; 787; 256; 1152; 435
336; 11.331761009461516; 192; 380; 233; 396; 100; 348; 422; 699; 652; 453; 732; 235; 1291; 388
341; 11.49988802740605; 190; 449; 217; 416; 97; 352; 302; 707; 688; 477; 678; 211; 1372; 367
345; 11.634389641761675; 177; 454; 208; 425; 65; 369; 216; 707; 723; 499; 649; 196; 1488; 345
350; 11.802516659706207; 172; 473; 187; 443; 32; 387; 139; 703; 748; 511; 627; 182; 1598; 316
354; 11.937018274061835; 174; 478; 182; 449; 32; 387; 115; 703; 755; 513; 620; 180; 1670; 295
359; 12.105145292006366; 182; 459; 187; 443; 9; 392; 120; 707; 748; 511; 630; 184; 1713; 280
365; 12.306897713539806; 206; 432; 200; 436; 25; 387; 172; 707; 732; 499; 646; 194; 1694; 291
369; 12.441399327895432; 206; 432; 212; 425; 25; 387; 216; 707; 720; 487; 656; 204; 1660; 298
374; 12.609526345839965; 230; 368; 230; 408; 65; 368; 268; 699; 710; 470; 672; 211; 1579; 298
379; 12.777653363784498; 251; 344; 243; 398; 91; 361; 321; 699; 697; 456; 691; 223; 1516; 298
