#resolutions
2000; 600; 640; 480; 1000; 1000; 1280; 720; 1920; 1080; 1280; 720; 1280; 720; 1280; 720; 1280; 720; 1920; 1080;

#truth
21; 0.70; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
22; 0.73; nan; nan; nan; nan; 514; -33; 136; 36; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
23; 0.77; 104; 6; 194; -29; 724; -219; 253; 45; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
24; 0.80; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;

#data
25; 0.83; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
26; 0.87; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
27; 0.90; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
28; 0.93; 96; -15; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
29; 0.97; 45; 42; 79; 51; 346; 121; 133; 122; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
30; 1.00; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -44; 130; nan; nan;
31; 1.03; nan; nan; 282; 134; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -91; 325; nan; nan;
32; 1.07; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -179; -21; -48; -101; nan; nan;
33; 1.10; nan; nan; 105; 66; nan; nan; 119; 138; 262; 368; -137; -234; nan; nan; nan; nan; nan; nan; nan; nan;
34; 1.13; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -78; -176; nan; nan; -215; -206; nan; nan; nan; nan;
35; 1.17; nan; nan; nan; nan; 794; -786; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
36; 1.20; nan; nan; 145; -79; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -239; -245; nan; nan; nan; nan;
37; 1.23; nan; nan; 174; -37; 502; -117; 168; 12; nan; nan; nan; nan; nan; nan; -332; -129; nan; nan; nan; nan;
38; 1.27; nan; nan; 166; -68; nan; nan; 183; -21; nan; nan; nan; nan; nan; nan; -312; -125; 103; -234; nan; nan;
39; 1.30; 98; -67; 124; -85; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -232; -225; 155; -246; nan; nan;
40; 1.33; nan; nan; nan; nan; nan; nan; 230; 120; nan; nan; nan; nan; nan; nan; -435; 32; nan; nan; nan; nan;
41; 1.37; nan; nan; 237; -87; 780; -378; 293; 4; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
42; 1.40; nan; nan; 113; 6; nan; nan; 83; 49; nan; nan; nan; nan; 3; 37; nan; nan; nan; nan; nan; nan;
43; 1.43; nan; nan; nan; nan; 1028; -293; 261; 26; nan; nan; nan; nan; nan; nan; nan; nan; 458; -780; nan; nan;
44; 1.47; nan; nan; 278; 116; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; -430; 144; nan; nan; nan; nan;
45; 1.50; 95; 71; nan; nan; 1261; -153; nan; nan; nan; nan; -360; -194; nan; nan; -374; 126; nan; nan; nan; nan;
46; 1.53; 64; 0; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
47; 1.57; 47; 10; nan; nan; nan; nan; nan; nan; 298; 112; nan; nan; 91; 33; -168; 14; nan; nan; nan; nan;
48; 1.60; nan; nan; 68; -61; nan; nan; nan; nan; 339; -37; nan; nan; nan; nan; -167; -22; nan; nan; nan; nan;
49; 1.63; nan; nan; 165; 70; nan; nan; nan; nan; 309; 378; nan; nan; nan; nan; nan; nan; nan; nan; nan; nan;
50; 1.67; nan; nan; nan; nan; nan; nan; nan; nan; 348; -52; -176; -159; nan; nan; -268; -122; nan; nan; nan; nan;
51; 1.70; nan; nan; nan; nan; nan; nan; nan; nan; 488; 57; -257; -244; nan; nan; -400; -104; nan; nan; nan; nan;
52; 1.73; nan; nan; nan; nan; 690; -256; nan; nan; nan; nan; nan; nan; nan; nan; -354; -44; nan; nan; nan; nan;
53; 1.77; nan; nan; nan; nan; 160; -79; 74; -32; nan; nan; nan; nan; nan; nan; -104; -82; nan; nan; nan; nan;
